,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,hermanus,za,-34.42,19.23,47.88,91,0,7.4
2,albany,au,-35.02,117.89,71.59,83,48,10.98
4,kurdzhinovo,ru,43.99,40.96,0.63,69,32,1.7
6,severnoye,ru,56.35,78.36,-3.61,78,56,8.52
7,broken hill,au,-31.95,141.43,84.96,50,0,10.98
8,rikitea,pf,-23.12,-134.97,76.95,99,68,15.01
9,sinnamary,gf,5.38,-52.95,79.38,100,88,11.54
10,yellowknife,ca,62.46,-114.35,-0.41,84,90,9.17
11,kaeo,nz,-35.1,173.78,67.09,67,92,10.76
12,luanda,ao,-8.84,13.23,77.0,83,75,4.7
13,ponta do sol,cv,17.2,-25.09,77.85,100,100,13.44
14,choszczno,pl,53.17,15.42,39.2,93,75,9.17
15,lebu,cl,-37.62,-73.65,53.59,95,0,20.27
16,busselton,au,-33.65,115.33,75.06,77,0,16.69
17,atuona,pf,-9.8,-139.03,80.37,100,64,19.82
18,punta arenas,cl,-53.15,-70.92,42.8,60,75,12.75
20,kilindoni,tz,-7.91,39.67,82.26,100,0,11.99
21,castro,cl,-42.47,-73.77,46.89,82,0,8.41
23,jamestown,sh,-15.94,-5.72,68.13,100,92,16.8
24,chuy,uy,-33.7,-53.46,55.98,94,0,6.4
25,sao filipe,cv,14.9,-24.5,79.74,91,92,13.56
26,praia,cv,14.92,-23.51,78.8,78,0,19.46
29,ushuaia,ar,-54.8,-68.3,37.4,82,40,20.8
30,sioux lookout,ca,50.1,-91.92,17.6,85,90,2.71
32,thinadhoo,mv,0.53,72.93,81.63,100,56,12.77
33,margate,za,-30.86,30.37,63.36,99,68,18.03
36,shestakovo,ru,56.49,103.96,-11.53,54,44,7.4
37,upernavik,gl,72.79,-56.15,26.1,100,0,6.06
38,tuatapere,nz,-46.13,167.68,59.49,91,48,6.96
39,mar del plata,ar,-38.0,-57.56,69.8,64,20,10.29
41,salacgriva,lv,57.75,24.36,35.41,93,12,16.58
42,cape town,za,-33.93,18.42,51.8,71,0,3.36
44,georgetown,sh,-7.93,-14.42,75.24,100,92,16.8
47,atliaca,mx,17.65,-99.37,56.25,93,0,2.15
48,gwadar,pk,25.12,62.33,66.28,82,0,4.72
49,luocheng,cn,29.38,104.03,49.63,93,80,3.94
51,taoudenni,ml,22.68,-3.98,57.64,44,12,11.43
52,pakxe,la,15.12,105.78,75.2,64,40,6.93
53,san quintin,mx,30.48,-115.95,56.52,86,0,3.83
54,marica,br,-22.92,-42.82,84.2,74,75,4.7
56,avinurme,ee,58.98,26.86,32.98,90,0,12.44
57,quatre cocos,mu,-20.21,57.76,78.8,74,75,12.75
58,dahuk,iq,36.87,42.99,23.22,74,0,2.82
59,salinas,ec,-2.22,-80.97,69.8,88,75,5.82
60,jasper,us,38.39,-86.93,37.4,69,1,5.82
63,turukhansk,ru,65.82,87.98,-12.02,58,56,13.11
64,silale,lt,55.49,22.18,33.88,92,88,12.44
65,amga,ru,60.9,131.96,-29.8,47,20,3.38
66,qaanaaq,gl,77.48,-69.36,12.15,97,48,14.9
67,saldanha,za,-33.01,17.94,55.4,54,0,5.82
68,pevek,ru,69.7,170.31,-16.12,100,12,5.73
69,kavieng,pg,-2.57,150.8,84.51,100,8,3.94
70,khatanga,ru,71.97,102.5,-21.11,62,56,3.6
71,meulaboh,id,4.14,96.13,74.83,100,100,5.28
72,darnah,ly,32.77,22.64,66.91,100,76,14.67
73,new norfolk,au,-42.78,147.06,69.8,52,20,12.75
74,hasaki,jp,35.73,140.83,55.4,62,75,13.87
75,butaritari,ki,3.07,172.79,84.42,100,68,12.44
79,merauke,id,-8.47,140.33,88.78,85,24,2.93
80,boshnyakovo,ru,49.63,142.17,17.64,100,76,16.24
82,mahebourg,mu,-20.41,57.7,78.8,74,75,12.75
83,astaneh-ye ashrafiyeh,ir,37.26,49.94,41.0,93,75,2.24
